SKU Code,Brand, Category,Title,Default List,Standard/Premium,Priority,Room,MRP Price,Purchase Price,5% Margin,Delivery Fee,Minimum Sales Price,Recommended Retail Price,Market Price 1,Market Price 2,BH Price,Discount,Margin,Margin %,Top Benefits,Product Image URL,URL
ELST0121,AO Smith,Storage Water Heater ,AO Smith Elegance Prime Storage Water Heater 15 Litres,Standard List,Standard,1,Bathroom,"11,400","7,530","7,974",,"7,974","9,000","8,965",8699,"8,500","2,900",970,10.92%,"1. Blue diamond glass-lined tank is corrosion resistant and has longer life.
2. Glass-coated Incoloy heating element ensures efficient, long-lasting, and scale-resistant heating.
3. 5-Star energy rated for its high energy efficiency and lead to lower electricity bills and faster heating. It consumes 2,000 watts.
4. This is apt for bathing with a shower or bucket.
5. Suitable for high-rise buildings by handling water pressure of 8 bars.",https://betterhomeapp.com/cdn/shop/files/AO_Smith_Elegance_Prime_Storage_WaterHeater4.png?v=1740223503,https://betterhomeapp.com/products/ao-smith-elegance-prime-storage-water-heater-15-litres
ELST0116,AO Smith,Storage Water Heater ,AO Smith Elegance Prime 25 Ltr,,"Standard, Premium",2,Bathroom,13100,"8,710","9,224",,"9,224",,"9,990",,"9,780","3,320","1,070",10.41%,,https://betterhomeapp.com/cdn/shop/files/AO_Smith_Elegance_Prime_Storage_WaterHeater4.png?v=1740223503,https://betterhomeapp.com/products/ao-smith-elegance-prime-storage-water-heater-25-ltr
ELST0104,AO Smith,Storage Water Heater ,AO Smith Elegance Slim Storage Water Heater 15 Ltr - Horizontal - LHS,Premium List,"Standard, Premium",1,Bathroom,"12,700","8,750","9,266",,"9,266",,"9,799","10,999","9,800","2,900","1,050",10.17%,,https://betterhomeapp.com/cdn/shop/files/Elegance-Slim_LHS_015-Left-Merged.png?v=1725537937,https://betterhomeapp.com/products/ao-smith-elegance-slim-storage-water-heater-15-ltr-lhs
HAWP0002,AO Smith,Water Purifier ,AO Smith X6 Plus 5 L RO + SCMT Water Purifier,,Standard,3,Ktichen,19000,,0,,0,,"17,990",,"16,500","2,500","16,500",#DIV/0!,,https://betterhomeapp.com/cdn/shop/files/AO_Smith_X6_Plus_5L_RO_SCMT_Water_Purifier.png?v=1740400886,https://betterhomeapp.com/products/ao-smith-elegance-slim-storage-water-heater-15-ltr-lhs
HAWP0004,AO Smith,Water Purifier ,AO Smith ProPlanet P4 Pro 5L RO + SCMT Water Purifier,Standard List,Standard,1,Ktichen,"24,400","19,385","20,529",,"20,529","20,000",18999,"19,900","19,800","4,600",415,1.81%,"1. 100% RO water since all the water is passed through the RO membrane unlike other brands.
2. Delivers ""Baby-Safe"" water with full-spectrum contaminant removal and UV freshness using 8-Stage RO + SCMT + UV purification.
3. SCMT (Silver Charged Membrane Technology) removes Virus, Bacteria, Cysts, Particulates, Endotoxins, Colloids, Chemicals and Phosphates.
4. All time fresh water with in-tank UV purification.
5. Adds essential minerals and copper for taste and health.
6. India's first 5 star rated water purifier which saves 2X water using ART™MAX Water Saving Technology. This is good for you and our Earth.",https://betterhomeapp.com/cdn/shop/files/AO_Smith__Pro_Planet__P4__Pro__5L__RO_SCMT__Water__Purifier__Full_View.png?v=1740507225,https://betterhomeapp.com/products/ao-smith-x6-plus-5-l-ro-scmt-water-purifier
,AO Smith,Water Purifier ,Pro 8,,Premium,2,Ktichen,22500,"17,560","18,596",,"18,596",,,,,,"-17,560",-84.75%,,,
HAWP0005,AO Smith,Water Purifier ,AO Smith Proplanet P6 10L RO + SCMT Hot & Cold Water Purifier - Black,Premium List,Premium,1,Ktichen,31100,"24,650","26,104",,"26,104",,"25,430",,"25,400","5,700",750,2.58%,,https://betterhomeapp.com/cdn/shop/files/AO_Smith_ProPlanet_P6_10L_RO_Plus_SCMT_Hot_and_Cold_Water_Purifier-Installation.jpg?v=1752776691,https://betterhomeapp.com/cdn/shop/files/AO_Smith_ProPlanet_P6_10L_RO_Plus_SCMT_Hot_and_Cold_Water_Purifier-Installation.jpg?v=1752776691
HAWP0001,AO Smith,Water Purifier ,AO Smith Z2 Pro Under the Counter RO Water Purifier,,"Standard, Premium",2,Ktichen,25900,"19,996","21,176",,"21,176",,"21,348",,"21,500","4,400","1,504",6.37%,,https://betterhomeapp.com/cdn/shop/files/AO_Smith_India_Z2_Pro_Under_the_Counter_RO_Water_Purifier_-_Fitting_image.jpg?v=1738162504,https://betterhomeapp.com/products/ao-smith-proplanet-p6-10l-ro-plus-scmt-hot-and-cold-water-purifier
,AO Smith,Water Softener,CWS-40,,"Standard, Premium",2,"Whole Home, Bathroom",119000,"90,000","95,310",,"95,310","98,000",,,,,"-90,000",-84.75%,,,
,AO Smith,Water Softener,CWS-25,,"Standard, Premium",1,"Whole Home, Bathroom","95,000","70,000","74,130",,"74,130","75,000",,,,,"-70,000",-84.75%,,,
,Eureka Forbes,Water Softener,Aquaguard Select AWS 5000 (3000 Litres per Hour),,"Standard, Premium",2,Whole Home,,,0,,0,,,,"81,000",,"81,000",#DIV/0!,,,
,Eureka Forbes,Robotic Vacuum Cleaner,Eureka Forbes Vacuum Cleaner Smartclean with Home Mapping Pro,,Premium,1,Whole Home,"33,100","26,499","28,062",,"28,062",,"33,100",,"28,500","4,600","2,001",6.40%,,,https://www.eurekaforbes.com/dp/GWPDWS50L10000/aquaguard-select-aws-5000-water-softener
ELCE1343-24792277,Atomberg,Ceiling Fan,Atomberg Aris Starlight IOT Enabled 1200 mm BLDC Motor with Remote 3 Blade Ceiling Fan - Brown (Dark Teakwood),Premium List,Premium,1,"Hall, Dining","15,530","8,991","9,521",100,"9,621",10249,"10,249",9999,"9,900","5,630",909,8.57%,"1. Very elegant look with the blade and underlight.
2. Good air delivery of 250 CMM to give the right comfort.
3. 5 Star rated; 39W per hour. Saves up to  ₹1,300 per year.
4. 2 years warranty. + 1 year if registered on Atomberg's website.
5. Can be controlled with Alex, Google, etc., and remote control for convenience.
6. Very low noise of 52 dBA as against a normal fan which is 60 dBA.",https://betterhomeapp.com/cdn/shop/files/20230202atombergarisstarlightamzpli-ma_tkwood_2.jpg?v=1720722044,https://betterhomeapp.com/products/atomberg-aris-starlight-ceiling-fan?variant=49583596273956
ELCE1343-24792276,Atomberg,Ceiling Fan,Atomberg Aris Starlight IOT Enabled 1200 mm BLDC Motor with Remote 3 Blade Ceiling Fan - White (Marble White),,Premium,2,"Hall, Dining","12,060","7,018","7,432",100,"7,532","7,999","7,999","7,999","7,900","4,160",882,10.65%,"1. Very elegant look with the blade and underlight.
2. Good air delivery of 250 CMM to give the right comfort.
3. 5 Star rated; 39W per hour. Saves up to  ₹1,300 per year.
4. 2 years warranty. + 1 year if registered on Atomberg's website.
5. Can be controlled with Alex, Google, etc., and remote control for convenience.
6. Very low noise of 52 dBA as against a normal fan which is 60 dBA.",https://betterhomeapp.com/cdn/shop/files/20230202atombergarisstarlightamzpli-ma_white_2.jpg?v=1720721903,https://betterhomeapp.com/products/atomberg-aris-starlight-ceiling-fan?variant=49583594504484
ELCE1259-1,Atomberg,Ceiling Fan,Atomberg Renesa Elite 1200 mm BLDC Ceiling Fan with Remote Control & LED Indicators ,,Standard,2,"Hall, Bedroom, Dining",5660,"3,775","3,998",100,"4,098",,"4,099",,"4,100","1,560",325,7.30%,,https://betterhomeapp.com/cdn/shop/files/Atomberg_Renesa_Elite_1200mm_BLDC_Ceiling_Fan_with_Remote_Control_LED_Indicators-Midnight_Black-PebbleGray.webp?v=1740588516,https://betterhomeapp.com/products/atomberg-renesa-elite-1200-mm-bldc-ceiling-fan-with-remote-control-led-indicators
ELCE1258-1,Atomberg,Ceiling Fan,"Atomberg Renesa Halo 600 mm BLDC Ceiling Fan - for Kitchen, Walk-in Wardrobe and Patio","Standard List, Premium List","Standard, Premium",1,"Ktichen, Patio, Walk-in-Wardrobe","6,000","3,333","3,530",100,"3,630","3,600","3,699",3599,"3,680","2,320",347,8.82%,"1. 600 mm sweep, 3‑blade ceiling fan, tailor-made for small, enclosed spaces such as kitchens, walk‑in wardrobes, patios, balconies, utility rooms, and pooja corners.
2. Operating at just 35 Watts, the Renesa Halo delivers powerful airflow while consuming a fraction of the electricity of traditional small fans.",https://betterhomeapp.com/cdn/shop/files/atomberg_renesa_halo_600mm_midnight_black_1_better_home.jpg?v=1754412396,https://betterhomeapp.com/products/atomberg-renesa-halo-600-mm-bldc-ceiling-fan-for-kitchen-walk-in-wardrobe-and-patio
ELCE1340-24792187,Atomberg,Ceiling Fan,Atomberg Ikano 1200mm BLDC Motor with Remote 5 star Rated Energy Efficient Ceiling Fan,,Standard,3,"Hall, Bedroom, Dining","4,820","2,572","2,724",100,"2,824",,,,"3,120",,548,18.06%,,https://betterhomeapp.com/cdn/shop/files/ikano_brown_2.jpg?v=1720691621,https://betterhomeapp.com/products/atomberg-ikano-1200mm-bldc-motor-with-remote-5-star-rated-energy-efficient-ceiling-fan?variant=49581490831652
ELCE1252-1,Atomberg,Ceiling Fan,Atomberg Renesa Prime Remote 1200mm BLDC Motor 5 Star Rated Sleek Ceiling Fan with Remote,,Standard,2,"Hall, Bedroom, Dining","5,660","3,151","3,337",100,"3,437",,,,"3,450","2,210",299,8.04%,,https://betterhomeapp.com/cdn/shop/files/fangx24em7d84ekj_01.jpg?v=1713616114,https://betterhomeapp.com/products/atomberg-renesa-prime-remote-1200mm-bldc-motor-5-star-rated-sleek-ceiling-fan-with-remote
ELWA0266-1,Atomberg,Wall Fan,Atomberg Renesa 400mm BLDC motor Energy Saving Wall Fan Remote Control ,,"Standard, Premium",1,"Walk-in-Wardrobe, Ktichen",5660,"3,441","3,644",100,"3,744",,"3,599",,"3,759","1,901",318,7.83%,,https://betterhomeapp.com/cdn/shop/files/20230310atombergrenesawallamzpliys_slide-2.jpg?v=1720496352,https://betterhomeapp.com/products/atomberg-renesa-400mm-bldc-motor-energy-saving-wall-fan-remote-control
ELPE0144-24792239,Atomberg,Pedestal Fan ,Atomberg Renesa 400mm BLDC motor Energy Saving Pedestal Fan with Remote Control ,,"Standard, Premium",3,"Hall, Bedroom",6450,"3,887","4,116",100,"4,216",,"3,599",,"4,240","2,210",353,7.70%,,https://betterhomeapp.com/cdn/shop/files/pedestal_black_fan_pli_slide-2.jpg?v=1720506610,https://betterhomeapp.com/products/atomberg-renesa-400mm-bldc-motor-energy-saving-pedestal-fan-with-remote-control
ELEX0079-24792788,Atomberg,Exhaust Fan,Atomberg Efficio 150mm BLDC motor Energy Saving Exhaust Fan ,Standard List,Standard,1,Bathroom,"3,350","1,212","1,284",100,"1,384","1,399","1,399","1,349","1,350","2,000",138,9.65%,"1. Good air suction of 360 CMH with a speed of 2000 RPM.
2. Back flaps prevent Insects from entering the home.
3. Low noise.
4. BLDC motor consumes 65% less electricity but it is not too impactful since exhaust fans are not used for longer time in the bathroom.
5. Square cut out of175 MM X 175 MM.",https://betterhomeapp.com/cdn/shop/files/20221117atombergefficioexh150amzpli_black3_1.jpg?v=1720583556,https://betterhomeapp.com/products/atomberg-efficio-150mm-bldc-motor-energy-saving-exhaust-fan?_pos=4&_sid=99bfa48d9&_ss=r&_fid=18a304918
ELEX0058-24039233,Atomberg,Exhaust Fan,Atomberg Studio 150mm BLDC motor Energy Saving Exhaust Fan ,Premium List,Premium,1,Bathroom,3180,"1,481","1,568",100,"1,668",,"2,246",,"1,630","1,550",149,8.53%,,https://betterhomeapp.com/cdn/shop/files/20221117atombergstudioexh150amzpli-ma_black3.jpg?v=1720613658,https://betterhomeapp.com/products/atomberg-studio-150mm-bldc-motor-energy-saving-exhaust-fan-copy?_pos=5&_sid=1ed791633&_ss=r?variant=49577412100388
ELEX0078-24792773,Atomberg,Exhaust Fan,Atomberg Studio+ 150mm BLDC motor Energy Saving Exhaust Fan ,,Premium,2,Bathroom,3640,"1,775","1,880",100,"1,980",,"1,999",,"1,950","1,690",175,8.36%,,https://betterhomeapp.com/cdn/shop/files/20221117atombergstudio_150exhamzpli-ma_black3.jpg?v=1720610378,https://betterhomeapp.com/products/atomberg-studio-plus-150mm-bldc-motor-energy-saving-exhaust-fan?variant=49577328050468
ELMI1250-10001,Atomberg,Mixer Grinder,Atomberg Zenova Mixer Grinder with Unique Coarse Model 4 Jars including Chopper Jar with Hands Free Operation ,,"Standard, Premium",2,Ktichen,11999,"6,113","6,474",100,"6,574",,"6,999",,"7,050","4,949",937,12.99%,,https://betterhomeapp.com/cdn/shop/files/zenova_mixer_amazon_pli_black__artboard_1_1.jpg?v=1721647640,https://betterhomeapp.com/products/atomberg-zenova-mixer-grinder-with-unique-coarse-model-4-jars-including-chopper-jar-with-hands-free-operation
ELCE1346-24839363,Superfan,Ceiling Fan,Superfan Super X1 High Speed BLDC Ceiling Fan with 5 Years Warranty - 120 cm (48 inches)  - Brown,Standard List,Standard,1,"Bedroom, Dining, Hall","6,100","2,950","3,124",120,"3,244","3,600","3,700",3600,"3,500","2,600",550,15.80%,"1. Good air delivery of 230 CMM to give the right comfort for a good sleep. Highly recommended for those who prefer performance.
2. 5 Star rated; 65% Power saving which would be up to ₹1,500 per year.
3. 5 years warranty. Highest in the market.
4. Less maintenance because dust accumulated on brown colour are less visible.
5. Remote control for convenience.",https://betterhomeapp.com/cdn/shop/files/Superfan_SuperX1_Ceiling_Fan_Pot_Brown.png?v=1738994179,https://betterhomeapp.com/products/superfan-super-x1-ceiling-fan?variant=47082258039076
