SKU Code,Brand, Category,Product,Standard/Premium,Priority,Room,MRP Price,Purchase Price,5% Margin,Delivery Fee,Minimum Sales Price,Recommended Retail Price,Market Price 1,Market Price 2,BH Price,Discount,Margin,Margin %,Top Benefits,Product Image URL
HAHB0004,Bosch ,Hob,Bosch Built-in Gas Hob 5 Burner 90CM Series 6 PNV9B6F20I Tempered glass Black,,,,"65,490",,0,,0,,,,"58,990","6,500","58,990",#DIV/0!,,
,Bosch ,Hob,Bosch Built-in Gas Hob 4 Burner 90CM Series 4 PNF9B6G20I Tempered glass Black,,,,,,0,,0,,,,,0,0,#DIV/0!,,
KICH0025,Bosch ,Cooktop,Bosch Series 4 Table Top 4 Burners Gas Hob 60 cm PNP0E6W10I,,,,"21,500",,0,,0,,,,"7,000","14,500","7,000",#DIV/0!,,
,Bosch ,Washing Machine,Bosch Series 2 Washing Machine Top Loader 680 RPM WOE802D7IN,,,,"31,490","22,000","23,100",,"23,100",23500,"23,500",,"23,500","7,990",400,1.82%,,
,Bosch ,Washing Machine,,,,,,,0,,0,,,,,,0,,,
,Bosch ,Vacuum Cleaner,Bosch Cordless Vacuum Cleaner Unlimited 7 Graphite BCS711AIN,,,,"41,900","27,235","28,597",,"28,597","29,330","28,900",,"28,600",,3,,,
,Bosch ,Vacuum Cleaner,Bosch Cordless Vacuum Cleaner Unlimited 7 ProAnimal Red BCS71PETIN,,,,"58,900","38,285","40,199",,"40,199","41,230","38,900","41,103","38,900","20,000","-1,299",-3.39%,,
KICH0021,Faber ,Hob,"Faber 90cm 4 Burner Hob Experia HT 904 ALU AI FFD",,,,,,0,,0,,,,,0,0,#DIV/0!,,
,Faber ,Cooktop,Faber 77cm 3 Burner Cooktop Spark 3BB BK,,,,8990,4521,4747.05,,4747.05,4599,"4,784",,"4,600","4,390",-147,-3.25%,,
,Faber ,OTG,Faber FOTG 34L BK Double Glaze,,,,"10,990","7,952","8,350",,"8,350","8,799","8,499",,"8,300","2,690",-50,-0.62%,,
KICH0022,Faber ,Chimney ,Faber Hood Sunny IN HC SC FL LG 60 Auto Clean Filterless Chimney,Standard,1,,26990,14394,15113.7,,15113.7,16520,"15,349",,"15,300","11,690",186,1.29%,,
,Faber ,Cooktop,Faber Cooktop Remo XL 4BB,,,,"13,990","10,266","10,779",,"10,779","11,550","10,945",10970,"10,900","3,090",121,1.18%,,
,Faber ,Chimney ,Faber Hood Bolt FL SW SC BK 60 N,,,,"49,990","31,992","33,592",,"33,592","35,260","31,849",34910,"34,500","15,490",908,2.84%,,
,Faber ,Hob,Faber 75cm 3 Burner HOB BELLA HT753 BR AI,,,,32550,"24,395","25,615",,"25,615","27,820","27,179",27211,"26,500","6,050",885,3.63%,,
,Faber ,Microwave,Faber FMW Instacook 20_S Digital,,,,"9,990","7,097","7,452",,"7,452","7,950","7,199","7,350","7,190","2,800",-262,-3.69%,,
GLLE0011-24795171,S3,LED Mirror,S3 Classic Rectangular LED Mirror 24x18 inch - 3 Colour without Defogger ,Standard,1,,"5,000",2500,2625,,2625,3100,,,"3,100","1,900",475,19.00%,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,0,0,#DIV/0!,,
,,,,,,,,,,,,,,,,0,0,#DIV/0!,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
